res/airport-time-windows/2/alpha_0.1.log,;;;; Solution Found,,0.54,1506,452,1494,200.506
res/airport-time-windows/2/alpha_0.log,;;;; Solution Found,,0.55,1506,452,1494,200.521
res/airport-time-windows/2/alpha_1.log,;;;; Solution Found,,0.56,1506,452,1494,200.526
res/airport-time-windows/2/alpha_10000.log,;;;; Solution Found,,0.56,1506,452,1494,200.52
res/airport-time-windows/2/alpha_f_-1.log,;;;; Solution Found,,0.54,1506,452,1494,200.511
res/airport-time-windows/2/alpha_f_-10000.log,;;;; Solution Found,,0.54,1506,452,1494,200.517
res/airport-time-windows/2/alpha_f_0.1.log,;;;; Solution Found,,0.56,1506,452,1494,200.539
res/airport-time-windows/2/alpha_f_0.log,;;;; Solution Found,,0.55,1506,452,1494,200.519
res/airport-time-windows/2/alpha_f_1.log,;;;; Solution Found,,0.54,1506,452,1494,200.509
res/airport-time-windows/2/alpha_f_10000.log,;;;; Solution Found,,0.55,1506,452,1494,200.519
res/airport-time-windows/2/alpha_ms_-1.log,;;;; Solution Found,,0.55,1506,452,1494,200.52
res/airport-time-windows/2/alpha_ms_-10000.log,;;;; Solution Found,,0.55,1506,452,1494,200.521
res/airport-time-windows/2/alpha_ms_0.1.log,;;;; Solution Found,,0.53,1506,452,1494,200.503
res/airport-time-windows/2/alpha_ms_0.log,;;;; Solution Found,,0.56,1506,452,1494,200.524
res/airport-time-windows/2/alpha_ms_1.log,;;;; Solution Found,,0.55,1506,452,1494,200.519
res/airport-time-windows/2/alpha_ms_10000.log,;;;; Solution Found,,0.55,1506,452,1494,200.522
res/airport-time-windows/2/h.log,;;;; Solution Found,,0.33,938,331,922,200.299
res/airport-time-windows/2/h_fs.log,;;;; Solution Found,,0.34,938,331,922,200.309
res/airport-time-windows/2/h_ms.log,;;;; Solution Found,,0.34,938,331,922,200.31
res/airport-time-windows/20/alpha_-1.log,;;;; Solution Found,,41.55,731,292,731,278.187
res/airport-time-windows/20/alpha_-10000.log,;;;; Solution Found,,40.53,731,292,731,278.08
res/airport-time-windows/20/alpha_0.1.log,;;;; Solution Found,,40.52,731,292,731,278.021
res/airport-time-windows/20/alpha_0.log,;;;; Solution Found,,42.01,731,292,731,278.262
res/airport-time-windows/20/alpha_1.log,;;;; Solution Found,,40.49,731,292,731,278.093
res/airport-time-windows/20/alpha_10000.log,;;;; Solution Found,,40.69,731,292,731,278.106
